1559747624 0 0 0 1
1559914507 0 1 0 1
1559914721 0 2 0 1
1559916407 0 3 0 1
1559982662 0 4 0 1
1559987081 0 5 0 1
1560199526 0 5 1 1
1560291987 0 5 2 1
1560368056 0 5 3 1
1560426135 0 5 4 1
1560427900 1 5 4 1
1560428218 2 5 4 1
1560434021 3 5 4 1
1560444696 4 5 4 1
1560448597 5 5 4 1
1560449054 6 5 4 1
1560495519 7 5 4 1
1560518216 8 5 4 1
1560518874 9 5 4 1
1560685089 9 6 4 1
1560685314 9 7 4 1
1560685985 9 8 4 1
1560686791 9 9 4 1
1560687732 9 10 4 1
1560688082 9 11 4 1
1560696139 9 12 4 1
1561999174 10 12 4 1
1561999872 11 12 4 1
1562000121 12 12 4 1
1562000498 13 12 4 1
1562001204 14 12 4 1
1562004438 15 12 4 1
1562004472 16 12 4 1
1562005169 17 12 4 1
1562005368 18 12 4 1
1562005780 19 12 4 1
1562045092 20 12 4 1
1562047303 21 12 4 1
1562075630 22 12 4 1
1562149580 22 12 5 1
1562155897 23 12 5 1
1562156475 24 12 5 1
1562156646 25 12 5 1
1562162142 25 13 5 1
